METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ
"DEbest","ackley",5,4,1020,47,0.024170
"DEbest","ackley",5,4,1040,48,0.012076
"DEbest","ackley",5,4,1060,49,0.012076
"DEbest","ackley",5,4,1080,50,0.012076
"DEbest","ackley",5,4,1100,51,0.006316
"DEbest","ackley",5,4,1120,52,0.005908
"DEbest","ackley",5,4,1140,53,0.005908
"DEbest","ackley",5,4,1160,54,0.004524
"DEbest","ackley",5,4,1180,55,0.004524
"DEbest","ackley",5,4,1200,56,0.002549
"DEbest","ackley",5,4,1220,57,0.002549
"DEbest","ackley",5,4,1240,58,0.002549
"DEbest","ackley",5,4,1260,59,0.002549
"DEbest","ackley",5,4,1280,60,0.001230
"DEbest","ackley",5,4,1300,61,0.001230
"DEbest","ackley",5,4,1320,62,0.001230
"DEbest","ackley",5,4,1340,63,0.000703
"DEbest","ackley",5,4,1360,64,0.000703
"DEbest","ackley",5,4,1380,65,0.000703
"DEbest","ackley",5,4,1400,66,0.000703
"DEbest","ackley",5,4,1420,67,0.000420
"DEbest","ackley",5,4,1440,68,0.000420
"DEbest","ackley",5,4,1460,69,0.000303
"DEbest","ackley",5,4,1480,70,0.000303
"DEbest","ackley",5,4,1500,71,0.000303
"DEbest","ackley",5,4,1520,72,0.000195
